sourceA,idA,sourceB,idB
frick,250,zeri,12083
frick,252,zeri,16922
frick,254,zeri,16988
frick,255,zeri,16321
frick,258,zeri,12614
frick,258,zeri,12616
frick,259,zeri,15037
frick,260,zeri,13461
frick,261,zeri,15164
frick,262,zeri,12414
frick,263,zeri,13011
frick,267,zeri,15237
frick,270,zeri,12129
frick,272,zeri,16977
frick,273,zeri,15292
frick,275,zeri,16338
frick,276,zeri,16355
frick,284,zeri,11810
frick,291,zeri,12758
frick,292,zeri,16278
frick,293,zeri,12740
frick,294,zeri,14530
frick,296,zeri,12082
frick,300,zeri,13360
frick,302,zeri,16455
frick,304,zeri,30891
frick,306,zeri,14965
frick,308,zeri,15286
frick,309,zeri,15118
frick,313,zeri,12879
frick,327,zeri,16200
frick,328,zeri,13536
frick,329,zeri,15766
frick,330,zeri,13827
frick,333,zeri,13606
frick,336,zeri,12114
frick,338,zeri,16283
frick,344,zeri,16406
frick,348,zeri,12227
frick,350,zeri,15404
frick,354,zeri,14556
frick,356,zeri,15264
frick,358,zeri,11455
frick,363,zeri,12990
frick,365,zeri,11813
frick,367,zeri,11814
frick,369,zeri,15780
frick,370,zeri,11808
frick,372,zeri,16384
frick,379,zeri,16171
frick,384,zeri,16091
frick,385,zeri,12219
frick,388,zeri,15445
frick,392,zeri,61310
frick,394,zeri,16060
frick,395,zeri,25277
frick,396,zeri,15771
frick,397,zeri,16022
frick,398,zeri,16056
frick,401,zeri,13841
frick,402,zeri,12222
frick,403,zeri,15262
frick,404,zeri,12856
frick,406,zeri,25494
frick,411,zeri,25494
frick,7871,zeri,27600
frick,7874,zeri,28461
frick,7876,zeri,31181
frick,7879,zeri,30964
frick,7882,zeri,31182
frick,7884,zeri,30986
frick,7885,zeri,30988
frick,7886,zeri,30452
frick,7887,zeri,29326
frick,7890,zeri,30417
frick,7890,zeri,30419
frick,7896,zeri,31310
frick,7897,zeri,30455
frick,7898,zeri,29723
